[060] }do
[005] .{+
[005] %{'
[005] {' 
[005] 99)
[005] 9))
[005] ip 
[005] .1&
[005] `""
[005] 99-
[005] o;;
[005] /{1
[005] }/.
[005] (@+
[005] ](\
[005] +.4
[005] :^1
[005] ""-
[005] \;.
[005] /\{
[005] p}%
[005] }/\
[005] @+2
[005] 2${
[005] }%1
[005] ,n*
[005] +]+
[005] {~)
[005] }{.
[005] @@+
[005] 10 
[005] }%[
[005] P; 
[005] ':'
[005] ]]\
[005] \,,
[005] :P;
[005] [2$
[005] 3$<
[005] }:P
[004] .{[
[004] /}+
[004] {},
[004] @if
[004] `{[
[004] 2$.
[004] 00 
[004] 3*;
[004] ={.
[004] -ab
[004] 0 5
[004] @}*
[004] .|{
[004] {.5
[004] ](;
[004] 1%+
[004] /{{
[004] {.[
[004] )}:
[004] }+\
[004] $1>
[004] +\)
[004] ]; 
[004] /+}
[004] ~].
[004] .p}
[004] -""
[004] ~:^
[004] :N;
[004] ^,{
[004] (\+
[004] {^1
[004] two
[004] 1$/
[004] +.(
[004] ree
[004] zer
[004] ero
[004] .0>
[004] min
[004] inu
[004] nus
[004] uso
[004] son
[004] +\+
[004] ]@+
[004] f}/
[004] 1$.
[004] ]''
[004]  ba
[004] %.,
[004] '='
[004] *1$
[004] ~),
[004] %]z
[004] .2/
[004] \{'
[004] "+\
[004] :c;
[004] @[\
[004] },:
[004] ?):
[004] .{2
[004] \}3
[004] ..+
[004] ]]{
[004] %:^
[004] *].
[004] {))
[004] *n+
[004] :k;
[004] '+}
[004] *n}
[004] [0.
[004] >+}
[004] <},
[004] !{.
[004] \1/
[004] ,{'
[004] 1%n
[004] \.+
[004] }@*
[004] +}@
[004] 2*(
[004] *2$
[004] \{:
[004] 1>\
[004] }:s
[004] [1 
[004] {:x
[004] }*+
[004] 32-
[004] ?0>
[004] {0\
[004] \{[
[004] 8 1
[004] $.,
[004] )2/
[004] S; 
[004] 0*;
[004] 0<{
[004] .&,
[004] 108
[004] ={\
[004] *@+
[004] 3$*
[004] 1,{
[004] '* 
[004] *.2
[004]  11
[004] ,,]
[004]  wi
[004] 0\?
[004] 10\
[004] \}/
[004] }{1
[004] {[[
[004] $}%
[004] 128
[004] ].{
[004] 0<}
[004] if.
[004] se-
[004] B""
[004] '-'
[004] 1/\
[004] $)<
[004] .!{
[004] }$ 
[004] {2*
[004] 1\{
[004] n+}
[004] }*{
[004] {2/
[004] +~ 
[004] ""A
[004] (\{
[004] /10
[004] ,ra
[004] -1>
[004] ^}%
[004] %n+
[004] ~\]
[004] .}%
[004] \)\
[004] .,r
[004] {zi
[004] +}:
[004] ,{3
[004] 32|
[004] :|;
[004] ~.,
[004] ~]2
[004] {2\
[004] 2%{
[004] if;
[004] {~.
[004] {48
[004] ""i
[004] .@.
[004] 2$>
[004] +2/
[004] \-}
[004] {[0
[004] <{;
[004] ~}+
[004] (;\
[004] {.~
[004] \{~
[004] \2$
[004] ,{6
[004] :f~
[004] ,:^
[004] }*2
[004] >{1
[004] ,2=
[004] {1&
[004] }?}
[004] .{3
[004] 2-}
[004] -+}
[004] n%(
[004] do(
[004] $\,
[004]  '}
[004] }*~
[004] ,,}
[004] \%}
[004] ""L
[004] "Li
[004] Lin
[004] ){.
[004] 5+.
[004] ine
[004] {0=
[004] *]}
[004] +2*
[004] \.{
[004] 48-
[004] "."
[004] :P{
[004] 1,\
[004] }%8
[004] 0+{
[004] >3<
[004] o; 
[004] %{1
[004] <}{
[004] /1$
[004] %.$
[004] <}%
[004] '2/
[004] {;1
[004] {1=
[004] ).2
[004] e{.
[004] ),\
[004] ..*
[004] *+1
[004] \)}
[004] /{[
[004] 4%2
[004] +,,
[004] 'n/
[004] %2*
[004] ..,
[004] %{(
[004] ,{(
[004] %},
[004] %$0
[004] .@=
[004] ..{
